cadastre_id;num_voie;compl;type_voie;voie;commune_id
1;690;;CRS;DE LA LIBERATION;800
2;83;;BD;DU REDON;325
3;9001;;;AVE DE GAULLE 27 FOUGERES;2290
4;9006;;VC;RES SUPER DEAUVILLE;370
5;36;;AV;MAZARIN;2856
6;4;;RUE;DE LA ROCHE BENOTTE;2889
7;120;;ALL;DE PLEIN CIEL;2259
8;9005;;VC;RES LE FRANCE;370
9;9001;;RES;SARCIGNAN;802
10;9001;;FRM;DU TEMPLE;2839
11;9;;RUE;HENRI BARBUSSE;2371
12;9;;AV;DU GENERAL DE GAULLE;151
13;113;;AV;DU HUIT MAI 1945;250
14;200;;ALL;DES 4 VENTS;1373
15;5400;;VGE;DE TERRA BELLA;626
16;9001;;PARC;D ARDENAY;2923
17;1;;PL;DE HANOVRE;2198
18;6;;AV;DE LA GARE;1905
19;9002;;RES;BLEU MARINE;786
20;1;;AV;P CASSAGNAVERE;368
21;9001;;RES;LA COUPIANE;2627
22;9045;F;RES;LES CABROLS;902
23;13;;RUE;STE CATHERINE;1913
24;9004;;RUE;MOLIERE;1234
25;7;;RUE;PASTEUR;329
26;98;;AV;DU GENERAL DE GAULLE;3066
27;40;;RUE;GABRIEL PERI;2408
28;1;;AV;DU PORT;371
29;2;;RUE;GAMBETTA;813
30;10;;GR;GRANDE RUE;1343
31;9077;;CITE;DU CHATEAU VERT;901
32;77;B;RUE;DES CHESNEAUX;3133
33;3;;RUE;DE PARIS;1985
34;104;;RUE;DU CORPS DE GARDE;1280
35;42;;CRS;DU DANUBE;2349
36;75;;RES;ARISTIDE BRIAND;2443
37;330;;AV;DE LA MER;2643
38;9004;;RES;LES LIGNIERES;3139
39;9;;RUE;VICTOR HUGO;65
40;6;;RUE;THIERS;262
41;14;;RUE;PAUL LAFARGUE;2941
42;1;;RUE;SAINT EXUPERY;1800
43;4;;RUE;PIERRE CURIE;814
44;9001;;RES;LES RESTANQUES DU THOUAR;2622
45;24;;RUE;RACINE;810
46;21;;RUE;VICTOR HUGO;1035
47;1;;RUE;MAL DE LATTRE DE TASSIGNY;2408
48;5;;RUE;LEMERCIER;3209
49;50;;RUE;PETIT;3212
50;8;;RUE;DU MOULIN;150
51;54;;AV;DU RAY;144
52;13;;RUE;GAMBETTA;965
53;99;;AV;DU GENERAL LECLERC;2410
54;26;;PL;DU MARCHE;2869
55;1;;AV;DU PARC;805
56;9001;;RUE;JOSETTE BOCQ;1279
57;17;T;RUE;DU PONT COLBERT;2407
58;9001;;RES;FONDS FANETTES;2922
59;2;;RUE;DE VERDUN;2425
60;15;;RUE;DE LA REPUBLIQUE;698
61;13;;RUE;DE PARIS;368
62;23;;AV;DE LA REPUBLIQUE;841
63;18;;RUE;DE LA REPUBLIQUE;1699
64;2;;PL;DE LA REPUBLIQUE;1281
65;6;;AV;DU CHANCELIER ADENAUER;1628
66;7;;PL;DE LA REPUBLIQUE;394
67;6080;;CHEM;DE PORT MARIA;1598
68;1;;RUE;DE LA REPUBLIQUE;202
69;5000;;PARC;DE LA VERRERIE;825
70;96;;RUE;DE CHEVILLY;3036
71;356;;RUE;BREMONTIER;1161
72;9001;;RES;DE LA CROIX BLANCHE;2460
73;24;B;AV;ARISTIDE BRIAND;1052
74;250;;CHE;ARENE CROS;331
75;13;;RUE;ARISTIDE BRIAND;814
76;61;;AV;DE L AERODROME;1157
77;5815;;;AUX GLOVETTES;1102
78;20;;PAS;BARBEROUSSE;300
79;9001;;RES;COMPIEGNE JUVISY;2861
80;6412;;VC;RES LES MARINES;370
81;5821;;;VILLARD LE HAUT;1102
82;6;;RUE;STEPHANE MONY;2447
83;3;;RES;LA GRANDE VOILE;300
84;46;;RUE;RAFFET;3208
85;13;;PL;LOUIS ARAGON;3012
86;71;;RUE;SAINT BLAISE;3211
87;23;;RUE;LOUIS POUEY;2941
88;6;;PL;VICTOR CRUMIERE;2658
89;8;;AV;MAL DE LATTRE DE TASSIGNY;813
90;20;;RUE;PIERRE SEMARD;3034
91;4;;RUE;MICHEL DUBOSC;2229
92;9002;;VC;RES DEAUVILLE 2000;370
93;50;;;MISSION HAUT BRION;800
94;7484;;RES;LE MAEVA;1579
95;41;;RUE;NATIONALE;1615
96;5243;A;;SAN CIPRIANO;623
97;1;;AV;NORBERT GERBAUD;793
98;1;;RUE;THIERS;837
99;5141;;;LE BOIS D AUROUZE;121
100;;;RES;LES COLLINES DU RICANTO;618
101;2;;AV;P MARTIN LUTHER KING;2445
102;13;;RUE;PIERRE LOTI;796
103;6179;;;PADULACCIA;620
104;9001;;;PORT ROYAL;663
105;51;;AV;PASTEUR;281
106;12;;RUE;RASPAIL;2952
107;10;;RUE;PASTEUR;393
108;9020;;VC;RES LE GRAND CAP;370
109;2;;RUE;PASTEUR;116
110;6436;;VC;RES LES PORTES DE LA MER;370
111;22;;RUE;PASTEUR;839
112;9000;;;RESIDENCE VOLUTIS;831
113;3;;RUE;PASTEUR;1256
114;108;B;CRS;SAINT LOUIS;784
115;73;;RUE;PASTEUR;1712
116;39;B;RUE;SERGENT MICHEL BERTHET;1910
117;9001;;RES;PAUL ELUARD;797
118;372;;AV;THIERS;818
119;4;;RUE;PIERRE BROSSOLETTE;1541
120;20;;RUE;THIERS;280
121;6;;RUE;PIERRE BROSSOLETTE;2745
122;3;;RUE;VICTOR HUGO;812
123;1;;RUE;PIERRE CURIE;347
124;1;;RES;LE CORBUSIER;1535
125;28;;AV;JEAN JAURES;2831
126;1;;RUE;GAMBETTA;1140
127;9001;;RES;LA BACHELLERIE;819
128;83;;RUE;DU FBG SAINT DENIS;3201
129;293;;AV;DU DOCTEUR SCHWEITZER;2627
130;51;;RUE;DU GAL DELESTRAINT;3208
131;4;;RUE;JEAN JAURES;436
132;30;;RUE;DU GEN DE GAULLE;374
133;22;;AV;GAMBETTA;1996
134;11;;AV;DU GENERAL DE GAULLE;733
135;14;;AV;GEORGES CLEMENCEAU;945
136;30;;AV;DU GENERAL DE GAULLE;62
137;1;;RUE;JACQUES TATI;2409
138;5;;AV;DU GENERAL DE GAULLE;478
139;50;;AV;JEAN JAURES;415
140;93;;AV;DU GENERAL LECLERC;2966
141;56;;RUE;JEAN JAURES;1248
142;9;;RUE;DU GENERAL LECLERC;2318
143;15;;RUE;FRANCOIS JACOB;2942
144;118;;RUE;DU LOCH;300
145;26;;CRS;GAMBETTA;875
146;259;;CRS;DU MARECHAL GALLIENI;783
147;7;;RUE;GASTON MONNERVILLE;2342
148;4;;RUE;DU DOCTEUR CALMETTE;1205
149;1;;RUE;GUSTAVE CAILLEBOTTE;2428
150;1;;PAS;DU POIDS PUBLIC;1010
151;8;;RUE;HENRI DE BOURNAZEL;881
152;32;;RUE;DU PORT;823
153;23;;AV;JEAN JAURES;1582
154;210;;RTE;DU TAILLEUR;1156
155;48;;AV;JEAN JAURES;2425
156;7501;;PL;DU TREHIC;1349
157;66;;BD;JEAN JAURES;2953
158;2;B;BD;EDOUARD BRANLY;62
159;43;;RUE;JEAN JAURES;2033
160;9001;;;ENGOUVINS LENTISQUES;2627
161;7;;RUE;JEAN MERMOZ;148
162;23;;AV;FOCH;1512
163;20;;RUE;GAMBETTA;1214
164;232;;RUE;DE SUZON;800
165;69;;RUE;DE PARIS;2353
166;20;;RUE;DE LA REPUBLIQUE;105
167;26;;RUE;DE LA SABLONNIERE;584
168;23;;BD;DE STRASBOURG;2625
169;30;;AV;DE LA REPUBLIQUE;3061
170;3;;RUE;DE LA REPUBLIQUE;156
171;83;;AV;DE VERSAILLES;3035
172;131;;RUE;DE PARIS;3016
173;319;;RUE;DES CHARDONS BLEUS;1084
174;22;;RUE;DE LA REPUBLIQUE;360
175;2;;AV;DES GOELANDS;304
176;2694;;RTE;DE STRASBOURG;1914
177;593;;RUE;DU BAS MOULIN;2275
178;14;;RUE;DE THIONVILLE;3212
179;1;;AV;DE LA PETRE;1176
180;1;;RUE;DE NORMANDIE;1628
181;31;;RTE;DE VILLENEUVE;3052
182;106;;AV;DE LA VIGNE CAP FERRET;822
183;59;;AV;DES ETATS UNIS;2407
184;2;;CHE;DE LAPRAS;253
185;11;;ALL;DES TULIPES;801
186;220;;CHE;DE LAREIGNE;1160
187;2;;AV;DU BOIS;2965
188;1998;;RTE;DE LESPECIER;1187
189;131;;AV;DE MALAKOFF;3208
190;6;;BD;DU CHATEAU;2414
191;71;;CHE;DE L ESCOURCHE;2634
192;14;;RUE;DE L ASPIC;666
193;4774;;;ANCIEN CHEM DE TOULON;2635
