commune_id;departement_id;nom_commune
1;1;CHEVRY
2;1;DIVONNE-LES-BAINS
3;1;PERON
4;1;VALSERHONE
5;1;CULOZ
6;1;ST-GENIS-POUILLY
7;1;OYONNAX
8;1;ST-GERMAIN-DE-JOUX
9;1;GEX
10;1;AMBERIEU-EN-BUGEY
11;1;CESSY
12;1;SAULT-BRENAZ
13;1;FERNEY-VOLTAIRE
14;1;SEGNY
15;1;LAGNIEU
16;1;LE POIZAT-LALLEYRIAT
17;1;BELLEY
18;1;ORNEX
19;1;DORTAN
20;1;PREVESSIN-MOENS
21;1;BRENOD
22;1;SAINT-JEAN-LE-VIEUX
23;1;NANTUA
24;1;SAINT-DENIS-EN-BUGEY
25;1;THOIRY
26;1;BELLIGNAT
27;1;PLATEAU D'HAUTEVILLE
28;1;LELEX
29;1;VESANCY
30;1;IZERNORE
31;1;ECHENEVEX
32;1;VERSONNEX
33;1;SAINT-VULBAS
34;1;COLLONGES
35;1;CHAMPAGNE-EN-VALROMEY
36;1;JUJURIEUX
37;1;MATAFELON-GRANGES
38;1;HAUT-VALROMEY
39;1;ARBENT
40;1;LOYETTES
41;1;MIJOUX
42;1;SERGY
43;1;FARGES
44;1;CROZET
45;1;VILLARS-LES-DOMBES
46;1;MEXIMIEUX
47;1;MONTCEAUX
48;1;MONTLUEL
49;1;JASSANS-RIOTTIER
50;1;BEAUREGARD
51;1;DAGNEUX
52;1;MIONNAY
53;1;VILLIEU-LOYES-MOLLON
54;2;CHAUNY
55;2;LAON
56;2;LA FERE
57;2;URCEL
58;2;SAINT GOBAIN
59;2;TERGNIER
60;2;FOLEMBRAY
61;2;SAINT QUENTIN
62;2;SOISSONS
63;2;COURMELLES
64;2;VIC SUR AISNE
65;2;VILLERS-COTTERETS
66;2;LARGNY SUR AUTOMNE
67;2;NANTEUIL LA FOSSE
68;2;VAILLY-SUR-AISNE
69;2;COEUVRES ET VALSERY
70;2;BELLEU
71;2;CHATEAU THIERRY
72;2;FERE EN TARDENOIS
73;3;MOULINS
74;3;YZEURE
75;3;CUSSET
76;3;VICHY
77;4;SISTERON
78;4;RIEZ
79;4;ENCHASTRAYES
80;4;CHATEAU-ARNOUX-SAINT-AUBAN
81;4;DIGNE-LES-BAINS
82;4;MONTCLAR
83;4;ALLOS
84;4;CASTELLANE
85;4;JAUSIERS
86;4;LE LAUZET UBAYE
87;4;SEYNE
88;4;SAINTE CROIX DU VERDON
89;4;FAUCON-DE-BARCELONNETTE
90;4;BARCELONNETTE
91;4;GREOUX-LES-BAINS
92;4;SAINT-MARTIN-DE-BROMES
93;4;PEIPIN
94;4;VOLX
95;4;FORCALQUIER
96;4;SELONNET
97;4;MANOSQUE
98;4;UVERNET-FOURS
99;4;NOYERS-SUR-JABRON
100;4;PIERRERUE
101;4;ORAISON
102;4;L ESCALE
103;4;VILLENEUVE
104;4;VALENSOLE
105;4;VOLONNE
106;4;SAINTE-TULLE
107;4;SAINT-ETIENNE-LES-ORGUES
108;4;DEMANDOLX
109;4;BARREME
110;5;LARAGNE-MONTEGLIN
111;5;SAINT-MICHEL-DE-CHAILLOL
112;5;MONTGARDIN
113;5;VARS
114;5;EMBRUN
115;5;SAINT-SAUVEUR
116;5;BRIANCON
117;5;ORCIERES
118;5;VALLOUISE-PELVOUX
119;5;L'ARGENTIERE-LA-BESSEE
120;5;GAP
121;5;LE DEVOLUY
122;5;LA CHAPELLE-EN-VALGAUDEMAR
123;5;ABRIES-RISTOLAS
124;5;LA SALLE
125;5;VEYNES
126;5;ANCELLE
127;5;LES ORRES
128;5;SERRES
129;5;RISOUL
130;5;CHORGES
131;5;PUY SAINT VINCENT
132;5;SAINT-BONNET-EN-CHAMPSAUR
133;5;NEVACHE
134;5;LE MONETIER-LES-BAINS
135;5;LA BATIE NEUVE
136;5;GUILLESTRE
137;5;SAVINES-LE-LAC
138;5;MONTGENEVRE
139;5;LAYE
140;5;PUY-SANIERES
141;5;SAINT-CHAFFREY
142;6;NICE
143;6;NICE
144;6;NICE
145;6;SAINT-ANDRE DE LA ROCHE
146;6;LA TRINITE
147;6;FALICON
148;6;NICE
149;6;MENTON
150;6;ROQUEBRUNE CAP MARTIN
151;6;BEAUSOLEIL
152;6;LA BRIGUE
153;6;SAORGE
154;6;TENDE
155;6;SOSPEL
156;6;CASTELLAR
157;6;CASTILLON
158;6;GORBIO
159;6;MOULINET
160;6;BREIL-SUR-ROYA
161;6;SAINTE-AGNES
162;6;VILLEFRANCHE-SUR-MER
163;6;ISOLA
164;6;PEONE
165;6;VALDEBLORE
166;6;BEAULIEU SUR MER
167;6;PEILLON
168;6;DRAP
169;6;L'ESCARENE
170;6;CAP-D AIL
171;6;VILLARS-SUR-VAR
172;6;SAINT-MARTIN-VESUBIE
173;6;BENDEJUN
174;6;SAINT-ETIENNE-DE-TINEE
175;6;SAINT-MARTIN-DU-VAR
176;6;CONTES
177;6;LA TURBIE
178;6;GUILLAUMES
179;6;PEILLE
180;6;EZE
181;6;GILETTE
182;6;ROQUEBILLIERE
183;6;COLOMARS
184;6;SAINT-JEAN-CAP-FERRAT
185;6;LEVENS
186;6;BEUIL
187;6;BERRE-LES-ALPES
188;6;TOUDON
189;6;BLAUSASC
190;6;BELVEDERE
191;6;LUCERAM
192;6;LANTOSQUE
193;6;ASPREMONT
194;6;LA BOLLENE-VESUBIE
195;6;RIMPLAS
196;6;CANTARON
197;6;CLANS
198;6;LA ROQUETTE SUR VAR
199;6;UTELLE
200;6;PUGET-THENIERS
201;6;LE CANNET
202;6;MOUANS-SARTOUX
203;6;VALLAURIS
204;6;ANTIBES
205;6;ANTIBES
206;6;LA ROQUETTE SUR SIAGNE
207;6;MOUGINS
208;6;BIOT
209;6;CANNES
210;6;CANNES
211;6;MANDELIEU-LA-NAPOULE
212;6;GRASSE
213;6;PEGOMAS
214;6;THEOULE-SUR-MER
215;6;CARROS
216;6;VENCE
217;6;SAINT-CEZAIRE-SUR-SIAGNE
218;6;LE BROC
219;6;SAINT-VALLIER-DE-THIEY
220;6;LA GAUDE
221;6;LE BAR-SUR-LOUP
222;6;VALBONNE
223;6;GREOLIERES
224;6;PEYMEINADE
225;6;ANDON
226;6;CAGNES SUR MER
227;6;VILLENEUVE-LOUBET
228;6;SAINT LAURENT DU VAR
229;6;LA COLLE SUR LOUP
230;6;SAINT-PAUL-DE-VENCE
231;7;SAINT-JUST-D'ARDECHE
232;7;VALS-LES-BAINS
233;7;BOURG-SAINT-ANDEOL
234;7;GRAVIERES
235;7;SALAVAS
236;7;AUBENAS
237;7;LA-VOULTE-SUR-RHONE
238;7;PRIVAS
239;7;CHARMES-SUR-RHONE
240;7;VALLON PONT D'ARC
241;7;LABEGUDE
242;7;RUOMS
243;7;LANAS
