local_id;type_local;surf_carre;nb_piece_princ;surf_terrain;nature_cult;nature_cult_spec;cadastre_id
34;Appartement;0,40;1;;;;25960
35;Appartement;0,50;1;;;;28620
11949;Appartement;1,31;4;;;;2097
36;Appartement;1,36;1;;;;2097
7280;Appartement;1,43;3;;;;2505
7281;Maison;1,76;3;;;;21066
3227;Appartement;2,00;2;;;;7369
7589;Appartement;2,10;3;;;;16058
15;Appartement;2,36;;;;;26038
7676;Appartement;3,00;3;;;;6675
12716;Appartement;3,27;4;;;;28618
3941;Appartement;3,30;2;;;;14002
1767;Appartement;3,37;1;;;;20066
7675;Appartement;3,45;3;;;;21690
12717;Appartement;3,45;4;;;;8477
3942;Appartement;3,62;2;;;;21876
1768;Appartement;3,64;1;;;;22952
1769;Appartement;3,85;1;;;;28774
4957;Appartement;4,00;2;;;;24642
7942;Appartement;4,11;3;;;;8401
2491;Appartement;4,34;1;;;;12492
12752;Appartement;4,38;4;;;;5785
12753;Appartement;4,47;4;;;;8265
12754;Appartement;4,55;4;;;;8403
4954;Appartement;4,56;2;;;;12456
4955;Appartement;4,60;2;;;;1453
2492;Appartement;4,70;1;;;;25239
4956;Appartement;4,95;2;;;;9137
5970;Appartement;5,00;2;;;;18823
8526;Appartement;5,00;3;;;;26613
2778;Appartement;5,21;1;;;;16606
8525;Appartement;5,25;3;;;;3386
2779;Appartement;5,27;1;;;;22873
5968;Appartement;5,42;2;;;;22766
12800;Appartement;5,60;4;;;;21557
2780;Appartement;5,69;1;;;;23804
2781;Appartement;5,72;1;;;;21158
2782;Appartement;5,86;1;;;;7858
5969;Appartement;5,87;2;;;;27208
6721;Appartement;6,00;2;;;;18272
16621;Appartement;6,00;5;;;;410
6720;Appartement;6,20;2;;;;21275
2885;Appartement;6,25;1;;;;17396
2886;Appartement;6,26;1;;;;14113
2887;Appartement;6,32;1;;;;10624
2888;Appartement;6,47;1;;;;20483
2889;Appartement;6,54;1;;;;10333
12925;Appartement;6,60;4;;;;2200
2890;Appartement;6,67;1;;;;25799
2891;Appartement;6,75;1;;;;10057
2892;Appartement;6,89;1;;;;5558
2932;Appartement;7,07;1;;;;20249
10560;Appartement;7,10;3;;;;29430
2933;Appartement;7,16;1;;;;19595
2934;Appartement;7,17;1;;;;4446
2935;Appartement;7,21;1;;;;22363
10561;Maison;7,22;3;;;;26782
2936;Appartement;7,28;1;;;;23767
2937;Appartement;7,29;1;;;;29901
2938;Appartement;7,34;1;;;;26710
7053;Appartement;7,35;2;;;;2928
2939;Appartement;7,55;1;;;;21103
7054;Appartement;7,60;2;;;;27463
7055;Appartement;7,61;2;;;;8385
2940;Appartement;7,64;1;;;;18902
2941;Appartement;7,65;1;;;;15355
2942;Appartement;7,71;1;;;;3584
2943;Appartement;7,79;1;;;;3575
2944;Appartement;7,93;1;;;;16277
2945;Appartement;7,95;1;;;;17581
10562;Appartement;7,95;3;;;;2105
3007;Appartement;8,00;1;;;;8573
11348;Appartement;8,00;3;;;;11113
2988;Appartement;8,07;1;;;;4532
2989;Appartement;8,09;1;;;;5189
7175;Appartement;8,10;2;;;;10384
2990;Appartement;8,20;1;;;;5475
7176;Appartement;8,20;2;;;;12355
2991;Appartement;8,21;1;;;;29471
2992;Appartement;8,24;1;;;;12642
2993;Appartement;8,25;1;;;;14825
2994;Appartement;8,30;1;;;;28275
2995;Appartement;8,36;1;;;;25894
2996;Appartement;8,37;1;;;;24886
2997;Appartement;8,41;1;;;;19073
2998;Appartement;8,43;1;;;;10499
2999;Appartement;8,48;1;;;;23182
32;Appartement;8,50;;;;;24447
3000;Appartement;8,50;1;;;;17582
3001;Appartement;8,51;1;;;;27775
3002;Appartement;8,59;1;;;;3716
3003;Appartement;8,62;1;;;;686
3004;Appartement;8,72;1;;;;28229
3005;Appartement;8,75;1;;;;6988
3006;Appartement;8,78;1;;;;14216
