mutation_id;num_disposition;date_mutation;valeur_fonciere;local_id
1;2;13/01/2020;;17585
2;1;22/01/2020;;1014
3;1;23/01/2020;;4401
4;1;30/01/2020;;4959
5;1;12/02/2020;;567
6;1;26/02/2020;;4487
7;2;26/02/2020;;5669
8;1;24/04/2020;;13700
9;2;04/05/2020;;6155
10;1;30/05/2020;;5533
11;1;05/06/2020;;16859
12;1;09/06/2020;;1920
13;2;11/06/2020;;14313
14;1;12/06/2020;;17112
15;2;18/06/2020;;7052
16;2;20/06/2020;;3649
17;2;25/06/2020;;5018
18;1;30/06/2020;;4200
19;1;11/01/2020;10000;13025
20;1;03/03/2020;10000;4626
21;1;11/03/2020;10000;7617
22;1;03/04/2020;10000;680
23;1;17/04/2020;10000;9715
24;1;27/04/2020;10000;1158
25;1;23/05/2020;10000;1126
26;1;05/06/2020;10000;3006
27;1;06/01/2020;100000;4961
28;1;08/01/2020;100000;13518
29;1;09/01/2020;100000;6477
30;1;10/01/2020;100000;3951
31;1;14/01/2020;100000;731
32;1;17/01/2020;100000;5776
33;1;20/01/2020;100000;7953
34;1;21/01/2020;100000;1678
35;1;22/01/2020;100000;4228
36;1;23/01/2020;100000;3396
37;1;24/01/2020;100000;1066
38;1;27/01/2020;100000;1489
39;1;28/01/2020;100000;4369
40;1;29/01/2020;100000;10673
41;1;30/01/2020;100000;3880
42;1;31/01/2020;100000;504
43;1;04/02/2020;100000;1444
44;1;05/02/2020;100000;5757
45;1;07/02/2020;100000;14663
46;1;10/02/2020;100000;4914
47;1;11/02/2020;100000;1665
48;1;12/02/2020;100000;1457
49;1;13/02/2020;100000;10058
50;1;15/02/2020;100000;5235
51;1;21/02/2020;100000;57
52;1;24/02/2020;100000;4967
53;1;25/02/2020;100000;10042
54;1;26/02/2020;100000;9475
55;1;27/02/2020;100000;13516
56;1;28/02/2020;100000;5143
57;1;02/03/2020;100000;7674
58;1;03/03/2020;100000;4496
59;1;04/03/2020;100000;1719
60;1;05/03/2020;100000;1564
61;1;06/03/2020;100000;1286
62;1;11/03/2020;100000;5484
63;1;12/03/2020;100000;3271
64;1;13/03/2020;100000;1921
65;1;14/03/2020;100000;2541
66;1;16/03/2020;100000;9061
67;1;17/03/2020;100000;8258
68;1;20/03/2020;100000;4269
69;1;21/03/2020;100000;16973
70;1;24/03/2020;100000;12696
71;1;26/03/2020;100000;4458
72;1;27/03/2020;100000;14709
73;1;08/04/2020;100000;17005
74;1;09/04/2020;100000;15311
75;1;10/04/2020;100000;4751
76;1;20/04/2020;100000;5743
77;1;23/04/2020;100000;2445
78;1;24/04/2020;100000;9484
79;1;28/04/2020;100000;1895
80;1;29/04/2020;100000;738
81;1;30/04/2020;100000;1943
82;1;04/05/2020;100000;7140
83;1;05/05/2020;100000;1798
84;1;07/05/2020;100000;13418
85;1;12/05/2020;100000;10157
86;1;15/05/2020;100000;9884
87;1;19/05/2020;100000;9221
88;1;20/05/2020;100000;13368
89;1;22/05/2020;100000;6696
90;1;23/05/2020;100000;4546
91;1;25/05/2020;100000;10993
92;1;27/05/2020;100000;6473
93;1;28/05/2020;100000;11658
94;1;29/05/2020;100000;2279
95;1;30/05/2020;100000;14042
96;1;02/06/2020;100000;776
97;1;03/06/2020;100000;16767
98;1;04/06/2020;100000;4195
99;1;05/06/2020;100000;7257
100;1;08/06/2020;100000;17536
101;1;09/06/2020;100000;9751
102;1;10/06/2020;100000;903
103;1;13/06/2020;100000;13920
104;1;15/06/2020;100000;422
105;1;16/06/2020;100000;3501
106;1;18/06/2020;100000;6046
107;1;19/06/2020;100000;9521
108;1;20/06/2020;100000;11102
109;1;22/06/2020;100000;4525
110;1;24/06/2020;100000;16359
111;1;25/06/2020;100000;6839
112;1;26/06/2020;100000;4542
113;1;29/06/2020;100000;2329
114;1;30/06/2020;100000;4308
115;1;17/01/2020;1000000;15260
116;1;23/01/2020;1000000;17589
117;1;31/01/2020;1000000;5952
118;1;26/02/2020;1000000;7401
119;1;24/03/2020;1000000;17544
120;1;31/03/2020;1000000;12698
121;1;24/04/2020;1000000;12095
122;1;28/04/2020;1000000;12145
123;1;14/05/2020;1000000;9591
124;1;15/05/2020;1000000;7177
125;1;02/06/2020;1000000;5732
126;1;05/06/2020;1000000;17243
127;1;15/06/2020;1000000;14466
128;1;24/06/2020;1000000;7163
129;1;25/05/2020;100090;1882
130;1;21/01/2020;100100;13307
