index;mutation_id;num_disposition;date_mutation;valeur_fonciere;cadastre_id;num_voie;compl;type_voie;voie;commune_id;commune;departement_id;code_departement;nom_departement;local_id;type_local;surf_carre;nb_pce_princ;nat_cult;nat_cult_spec;surf_terrain
1;22617;1;03/02/2020;56000,00;26539;190;A;RUE;CENTRALE;3215;SAINT-ETIENNE-DU-BOIS;1;01;Ain;6009;Appartement;50,42;2;;;
2;7337;1;02/01/2020;165000,00;22903;347;;RUE;DU CHATEAU;1;CHEVRY;1;01;Ain;8397;Appartement;48,22;3;;;
3;25289;1;08/01/2020;720000,00;11100;58;;AV;DU MONT BLANC;2;DIVONNE-LES-BAINS;1;01;Ain;17451;Appartement;130,80;6;;;
4;19972;1;06/01/2020;429250,00;17100;140;;RUE;DE L'ABBE JOLIVET;3;PERON;1;01;Ain;16050;Maison;109,22;5;;;
5;11788;1;07/01/2020;220900,00;2647;39;;RUE;BUFFON;4;VALSERHONE;1;01;Ain;12211;Appartement;108,65;4;;;
6;19744;1;21/01/2020;42000,00;10231;28;;AV;JEAN FALCONNIER;5;CULOZ;1;01;Ain;4103;Appartement;31,65;2;;;
7;14233;1;07/01/2020;262000,00;25458;8;;RUE;DE GENEVE;6;ST-GENIS-POUILLY;1;01;Ain;6204;Appartement;52,58;2;;;
8;9569;1;08/01/2020;190000,00;12654;2;;RUE;DU RECULET;6;ST-GENIS-POUILLY;1;01;Ain;6648;Appartement;58,71;2;;;
9;22698;1;16/01/2020;563130,00;10571;1403;;RUE;JEAN DE GINGINS;2;DIVONNE-LES-BAINS;1;01;Ain;15474;Maison;93,23;4;;;
10;22173;1;17/01/2020;535000,00;23267;226;;ALL;DES CAPUCINES;6;ST-GENIS-POUILLY;1;01;Ain;16209;Maison;117,00;5;;;
11;17132;1;16/01/2020;330000,00;19112;276;;RTE;DE POUGNY;3;PERON;1;01;Ain;4501;Appartement;35,60;2;;;
12;1289;1;27/01/2020;110600,00;20820;79;;CRS;DE VERDUN;7;OYONNAX;1;01;Ain;16421;Appartement;138,03;5;;;
13;21493;1;30/01/2020;50000,00;18193;77;B;RUE;DU COMMERCE;8;ST-GERMAIN-DE-JOUX;1;01;Ain;5260;Appartement;42,00;2;;;
14;11133;1;09/01/2020;212000,00;19136;240;;RUE;DE PRE BAILLY;9;GEX;1;01;Ain;5504;Appartement;45,36;2;;;
15;6849;1;15/01/2020;160000,00;9207;3;;RUE;TURENNE;4;VALSERHONE;1;01;Ain;14627;Appartement;82,60;4;;;
16;22683;1;20/01/2020;561550,00;12980;44;;ALL;DU SQUARE DE LAUSANNE;2;DIVONNE-LES-BAINS;1;01;Ain;15112;Appartement;88,11;4;;;
