Produit,Année,Valeur
Blé et produits,2012,678008
Blé et produits,2013,680791
Blé et produits,2014,681214
Blé et produits,2015,696885
Blé et produits,2016,725421
Blé et produits,2017,727371
Blé et produits,2018,719376
Riz (Eq Blanchi),2012,688882
Riz (Eq Blanchi),2013,697202
Riz (Eq Blanchi),2014,700360
Riz (Eq Blanchi),2015,702268
Riz (Eq Blanchi),2016,699251
Riz (Eq Blanchi),2017,714370
Riz (Eq Blanchi),2018,724616
Orge et produits,2012,129774
Orge et produits,2013,142774
Orge et produits,2014,141389
Orge et produits,2015,137523
Orge et produits,2016,145736
Orge et produits,2017,141996
Orge et produits,2018,135849
Maïs et produits,2012,890690
Maïs et produits,2013,944587
Maïs et produits,2014,953232
Maïs et produits,2015,1024004
Maïs et produits,2016,1092007
Maïs et produits,2017,1109251
Maïs et produits,2018,1121651
Seigle et produits,2012,13830
Seigle et produits,2013,16081
Seigle et produits,2014,14067
Seigle et produits,2015,13539
Seigle et produits,2016,12639
Seigle et produits,2017,12763
Seigle et produits,2018,10829
Avoine,2012,21193
Avoine,2013,24114
Avoine,2014,22801
Avoine,2015,23025
Avoine,2016,23205
Avoine,2017,25382
Avoine,2018,23358
Millet et produits,2012,26887
Millet et produits,2013,26777
Millet et produits,2014,27396
Millet et produits,2015,29275
Millet et produits,2016,27181
Millet et produits,2017,28170
Millet et produits,2018,29273
Sorgho et produits,2012,58462
Sorgho et produits,2013,58991
Sorgho et produits,2014,62660
Sorgho et produits,2015,65337
Sorgho et produits,2016,62994
Sorgho et produits,2017,57516
Sorgho et produits,2018,59153
Céréales Autres,2012,28665
Céréales Autres,2013,28552
Céréales Autres,2014,30124
Céréales Autres,2015,29918
Céréales Autres,2016,29801
Céréales Autres,2017,30696
Céréales Autres,2018,26988
