",""2020"",""2020"",""2020"",""2020"",""2020"",""2020"",""2019"",""2019"",""2019"",""2019"",""2019"",""2019"",""2018"",""2018"",""2018"",""2018"",""2018"",""2018"",""2017"",""2017"",""2017"",""2017"",""2017"",""2017"",""2016"",""2016"",""2016"",""2016"",""2016"",""2016"",""2015"",""2015"",""2015"",""2015"",""2015"",""2015"",""2014"",""2014"",""2014"",""2014"",""2014"",""2014"",""2013"",""2013"",""2013"",""2013"",""2013"",""2013"",""2012"",""2012"",""2012"",""2012"",""2012"",""2012"",""2011"",""2011"",""2011"",""2011"",""2011"",""2011"",""2010"",""2010"",""2010"",""2010"",""2010"",""2010"",""2009"",""2009"",""2009"",""2009"",""2009"",""2009"",""2008"",""2008"",""2008"",""2008"",""2008"",""2008"",""2007"",""2007"",""2007"",""2007"",""2007"",""2007"",""2006"",""2006"",""2006"",""2006"",""2006"",""2006"",""2005"",""2005"",""2005"",""2005"",""2005"",""2005"",""2004"",""2004"",""2004"",""2004"",""2004"",""2004"",""2003"",""2003"",""2003"",""2003"",""2003"",""2003"",""2002"",""2002"",""2002"",""2002"",""2002"",""2002"",""2001"",""2001"",""2001"",""2001"",""2001"",""2001"",""2000"",""2000"",""2000"",""2000"",""2000"",""2000"""
","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using at least basic drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"","" Population using safely managed drinking-water services (%)"""
"Country,"" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"","" Total"","" Urban"","" Rural"""
"Afghanistan,""75"",""100"",""66"",""28"",""36"",""24"",""72"",""98"",""64"",""27"",""36"",""24"",""70"",""95"",""61"",""26"",""35"",""23"",""67"",""92"",""58"",""25"",""34"",""22"",""64"",""89"",""56"",""24"",""33"",""21"",""61"",""87"",""53"",""23"",""32"",""20"",""59"",""84"",""50"",""23"",""32"",""20"",""56"",""81"",""48"",""22"",""31"",""19"",""53"",""78"",""45"",""21"",""30"",""18"",""51"",""76"",""43"",""20"",""29"",""17"",""48"",""73"",""41"",""19"",""28"",""16"",""46"",""71"",""38"",""18"",""27"",""15"",""43"",""68"",""36"",""17"",""26"",""15"",""41"",""65"",""34"",""16"",""26"",""13"",""38"",""63"",""31"",""15"",""25"",""12"",""36"",""61"",""29"",""14"",""24"",""11"",""34"",""59"",""27"",""13"",""23"",""10"",""32"",""56"",""25"",""13"",""22"",""10"",""30"",""54"",""23"",""12"",""21"",""9"",""28"",""52"",""21"",""11"",""21"",""8"",""28"",""52"",""21"",""11"",""21"",""8"""
"Albania,""95"",""96"",""94"",""71"","""","""",""95"",""96"",""93"",""71"","""","""",""94"",""96"",""93"",""71"","""","""",""94"",""96"",""92"",""71"","""","""",""94"",""95"",""91"",""71"","""","""",""93"",""95"",""91"",""71"","""","""",""93"",""95"",""90"",""71"","""","""",""93"",""95"",""89"",""68"","""","""",""92"",""95"",""89"",""66"","""","""",""92"",""95"",""88"",""64"","""","""",""91"",""95"",""87"",""62"","""","""",""91"",""95"",""87"",""60"","""","""",""90"",""95"",""86"",""58"","""","""",""90"",""95"",""85"",""56"","""","""",""90"",""95"",""84"",""54"","""","""",""89"",""95"",""84"",""53"","""","""",""89"",""95"",""83"",""51"","""","""",""88"",""95"",""82"",""49"","""","""",""87"",""95"",""82"",""49"","""","""",""87"",""95"",""81"",""49"","""","""",""87"",""96"",""80"",""49"","""","""""
"Algeria,""94"",""96"",""90"",""72"",""74"",""69"",""94"",""96"",""90"",""73"",""75"",""68"",""94"",""96"",""89"",""74"",""76"",""68"",""94"",""96"",""89"",""75"",""77"",""68"",""94"",""96"",""89"",""75"",""78"",""67"",""93"",""95"",""88"",""76"",""79"",""66"",""93"",""95"",""88"",""76"",""81"",""65"",""93"",""95"",""88"",""76"",""82"",""64"",""93"",""95"",""87"",""76"",""82"",""63"",""93"",""95"",""87"",""75"",""82"",""62"",""92"",""95"",""87"",""75"",""82"",""61"",""92"",""95"",""86"",""75"",""82"",""60"",""92"",""95"",""86"",""74"",""82"",""59"",""92"",""95"",""86"",""74"",""82"",""58"",""91"",""95"",""85"",""73"",""82"",""57"",""91"",""95"",""85"",""73"",""82"",""57"",""91"",""94"",""85"",""72"",""82"",""56"",""91"",""94"",""84"",""72"",""82"",""55"",""90"",""94"",""84"",""71"",""82"",""54"",""90"",""94"",""84"",""71"",""82"",""53"",""90"",""94"",""83"",""70"",""82"",""52"""
"Andorra,""100"",""100"",""100"",""91"","""","""",""100"",""100"",""100"",""91"","""","""",""100"",""100"",""100"",""91"","""","""",""100"",""100"",""100"",""91"","""","""",""100"",""100"",""100"",""91"","""","""",""100"",""100"",""100"",""91"","""","""",""100"",""100"",""100"",""91"","""","""",""100"",""100"",""100"",""91"","""","""",""100"",""100"",""100"",""91"","""","""",""100"",""100"",""100"",""91"","""","""",""100"",""100"",""100"",""91"","""","""",""100"",""100"",""100"",""91"","""","""",""100"",""100"",""100"",""91"","""","""",""100"",""100"",""100"",""91"","""","""",""100"",""100"",""100"",""91"","""","""",""100"",""100"",""100"",""91"","""","""",""100"",""100"",""100"",""91"","""","""",""100"",""100"",""100"",""91"","""","""",""100"",""100"",""100"",""91"","""","""",""100"",""100"",""100"",""91"","""","""",""100"",""100"",""100"",""91"","""","""""
"Angola,""57"",""72"",""28"","""","""","""",""57"",""72"",""28"","""","""","""",""57"",""72"",""28"","""","""","""",""56"",""71"",""27"","""","""","""",""55"",""71"",""27"","""","""","""",""54"",""70"",""27"","""","""","""",""54"",""70"",""26"","""","""","""",""53"",""69"",""26"","""","""","""",""52"",""69"",""26"","""","""","""",""51"",""68"",""25"","""","""","""",""50"",""68"",""25"","""","""","""",""50"",""67"",""25"","""","""","""",""49"",""66"",""24"","""","""","""",""48"",""66"",""24"","""","""","""",""47"",""65"",""23"","""","""","""",""46"",""65"",""23"","""","""","""",""45"",""64"",""23"","""","""","""",""44"",""63"",""22"","""","""","""",""43"",""63"",""22"","""","""","""",""42"",""62"",""22"","""","""","""",""41"",""61"",""21"","""","""","""""
"Antigua and Barbuda,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""97"","""","""","""","""","""",""97"","""","""","""","""","""",""97"","""","""","""","""","""",""97"","""","""","""","""","""",""97"","""","""","""","""","""",""97"","""","""","""","""","""",""97"","""","""","""","""","""",""97"","""","""","""","""","""",""97"","""","""","""","""","""",""97"","""","""","""","""","""",""97"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""""
"Argentina,"""",""100"","""","""","""","""","""",""100"","""","""","""","""","""",""100"","""","""","""","""","""",""100"","""","""","""","""",""99"",""100"",""93"","""","""","""",""99"",""100"",""93"","""","""","""",""99"",""99"",""93"","""","""","""",""99"",""99"",""93"","""","""","""",""99"",""99"",""93"","""","""","""",""99"",""99"",""92"","""","""","""",""98"",""99"",""90"","""","""","""",""98"",""99"",""89"","""","""","""",""98"",""99"",""87"","""","""","""",""98"",""99"",""86"","""","""","""",""98"",""99"",""85"","""","""","""",""97"",""99"",""83"","""","""","""",""97"",""99"",""82"","""","""","""",""97"",""99"",""81"","""","""","""",""97"",""99"",""79"","""","""","""",""97"",""99"",""78"","""","""","""",""96"",""99"",""76"","""","""","""""
"Armenia,""100"",""100"",""100"",""87"","""","""",""100"",""100"",""100"",""86"","""","""",""100"",""100"",""100"",""86"","""","""",""100"",""100"",""100"",""85"","""","""",""100"",""100"",""99"",""85"","""","""",""100"",""100"",""99"",""84"","""","""",""99"",""100"",""99"",""84"","""","""",""99"",""100"",""98"",""83"","""","""",""99"",""100"",""97"",""82"","""","""",""99"",""100"",""97"",""82"","""","""",""98"",""100"",""96"",""81"","""","""",""98"",""99"",""95"",""81"","""","""",""98"",""99"",""94"",""81"","""","""",""97"",""99"",""94"",""81"","""","""",""97"",""99"",""93"",""81"","""","""",""97"",""99"",""92"",""81"","""","""",""96"",""99"",""92"",""80"","""","""",""96"",""99"",""91"",""80"","""","""",""96"",""99"",""90"",""80"","""","""",""95"",""99"",""90"",""80"","""","""",""95"",""99"",""89"",""80"","""","""""
